,id,archive_by_user,city,created_at,desc,image_count,mileage,platform,price,title,type,year,brand
0,4,True,Ahvaz,Friday 01PM,"گوشی نو بدون مشکل سه ماه کار کرده هیچ خط و ظربه ایی ندارد قابلیت ساپورت اینترنت LTE
دوربین20مگاپیکسل قابلیت NFC نازک 7میل قابلیت ساپورت رم تا 64گیگایت دوسیم کارته و لطفا خریدار واقعی تماس بگیره ممنون",0,,mobile,900000,گوشی موبایل سونی Z3Dule 2016,,,SONY
1,249,True,Qom,Wednesday 07AM,"گوشی با آک هیچ فرقی نداره فک کن داری آک میخری با ضمانت نامه دوسیم ۳۲ گیگ رنگ سورمه ای خاص سالممممممممم و و تمیز بدون هیچ خط و خشی خیلی تمیز هرچی بگم کم گفتم لیبل ضد ضربه و خشم داره روش با یه قاب خوشگل
قیمت 1690 گوشی فوق العاده سالم و تمیزه واقعا به قیمت گفتم
تمام وسایل کامل و اصلی و فابریک حتی سر نوک های قلمش روشه
ضمانتم داره هرچیم خواستی تستش کن
تعویض و شرایطی ندارم فقط نقد
هرکی بخره سود کرده گوشی آکو به قیمت پایین تر میخره پس قیمت پرت ندید چون قیمتو خیلی خوب گفتم
توضیحات کامل دادم فقط واسه خرید تماس بگیر
یاعلی",3,,mobile,1690000,نوت 5 دوسیم در حد آک فوق سالم و نو,,,SAMSUNG
2,290,True,Tehran,Friday 05AM,سامسونگ اس5 دوسیم فورجی,1,,web,800000,اس5 دوسیم فورجی سفید,,,SAMSUNG
3,297,False,Karaj,Monday 10PM,گوشی الجی فوق العاده تمیز رنگ سفید  دوسیم کارت دوربین8 فوکوس اتومات کیفیت عالی  صفحه نمایش 5اینچ 16میلیون رنگ حافظه داخی 8گیگ کیفیت دوربین عالی  اندورید5.2 پردازدهMediatek MT6582 حافظه رم 1گیگ دارای هدست شارژ کارتن وقاب زد ضربه پشتیبانی از فرمت های تصویری  Xvid/MP4/H.264,1,,web,500000,LG L Bello D335,,,LG
4,389,True,Isfahan,Sunday 06AM,گوشی بدون خط و خش نو نو تایوانی اصل تضمینی میدم، سه ماه کارکرده، سالم سالم به همراه گارد و گلس,2,,mobile,720000,Htc one m8 در حد,,,HTC
5,423,True,Tabriz,Wednesday 07AM,سلام . گوشی فقط یبار از دستم افتاده دوربرش خط افتاده . گوشی از لحاظ فنی عالی همه چی با کوچیکترین هنگی گوشی و پس میگرم. دوربین 13 و جلو 5 . صفحه ی 6 اینچ. اندورید 5.1.1,3,,mobile,670000,هواوی میت 7,,,HUAWEI
6,440,True,Ahvaz,Thursday 02AM,سلام تعدادی گوشی نوکیا 1100و مدلهای دیگه دارم برا فروش همه نو و آهستن,5,,mobile,50000,گوشی1100نوآگ,,,APPLE
7,502,True,Kermanshah,Thursday 09AM,سلام.جی پنج سفید در حد آک تری جی با وسایل کامل.سر معامله ی تخفیف کوچیکم داره,0,,mobile,420000,جی 5 سفید,,,SAMSUNG
8,526,False,Shiraz,Wednesday 06PM,موبایل سامسونگ S6 گلد,1,,web,1280000,SAMSUNG S6 GOLD,,,SAMSUNG
9,561,True,Tehran,Saturday 10AM,"گوشی کم کارکرد در حد آکبند بدون هیچگونه خط و خش میباشد.
۱۷ ماه گارانتی دارد.
یک عدد قاب ژله ای و یک عدد قاب  S view cover نیز به همراه گوشی می باشد.",5,,mobile,1880000,galaxy s7 edge dual sim 32 GIG,,,SAMSUNG
